position	frequency
1	127.87
2	127.73
3	127.51
4	127.68
5	127.51
6	127.51
7	127.3
8	127.25
9	127.42
10	127.5
11	127.3
12	127.5
13	127.85
14	127.53
15	127.39
16	127.18
17	127.46
18	127.26
19	127.19
20	127.15
21	127.14
22	127.13
23	126.86
24	127.2
25	126.59
26	126.69
27	126.72
28	126.64
29	126.79
30	126.64
31	126.59
32	126.93
33	126.75
34	126.83
35	126.75
36	127.65
37	126.17
38	125.93
39	125.91
40	125.97
41	125.79
42	125.6
43	126.06
44	126.01
45	126.07
46	125.97
47	125.97
48	125.89
49	125.98
50	125.89
51	126.06
52	125.88
53	126.06
54	126.33
55	126.35
56	126.24
57	126.32
58	126.25
59	126.08
60	126.17
61	125.84
62	126.28
63	125.69
64	125.95
65	126.04
66	126.1
67	126.29
68	125.92
69	125.94
70	125.93
71	125.97
72	126.1
73	126.24
74	126.22
75	126.24
76	126.26
77	126.34
78	126.33
79	126.45
80	125.97
81	125.98
82	125.86
83	125.96
84	125.97
85	126.14
86	126.1
87	126.03
88	126.02
89	125.78
90	125.85
91	126.04
92	125.9
93	126.08
94	126.3
95	125.88
96	126.01
97	125.96
98	125.85
99	125.97
100	125.83
101	125.93
102	126
103	125.8
104	125.98
105	125.81
106	125.85
107	125.81
108	125.85
109	126.15
110	125.93
111	126.07
112	126.07
113	126.2
114	126.15
115	126.09
116	126.24
117	126.1
118	126.34
119	126.42
120	126.41
121	126.36
122	126.31
123	126.28
124	126.19
125	126.4
126	126.39
127	126.31
128	126.09
129	126.42
130	126.34
131	126.23
132	125.94
133	126.22
134	126.29
135	126.5
136	126.3
137	126.32
138	126.1
139	126.44
140	126.53
141	126.5
142	126.66
143	126.88
144	127.12
145	126.84
146	126.75
147	126.91
148	127.01
149	126.8
150	126.75
151	126.84
152	126.96
153	127.22
154	126.8
155	126.99
156	127.04
157	126.98
158	126.67
159	126.77
160	126.62
161	126.71
162	126.79
163	126.38
164	126.45
165	126.32
166	126.58
167	126.49
168	126.66
169	126.69
170	126.82
171	126.78
172	126.36
173	126.59
174	126.73
175	126.52
176	126.64
177	126.81
178	126.81
179	126.69
180	126.82
181	126.64
182	126.59
183	126.62
184	126.57
185	126.59
186	126.76
187	126.62
188	126.51
189	126.64
190	126.53
191	126.32
192	126.65
193	126.48
194	126.28
195	126.49
196	126.31
197	126.32
198	126.31
199	126.01
200	125.9
201	126.14
202	125.98
203	126.23
204	126.06
205	126.24
206	126.26
207	125.99
208	126.11
209	126.11
210	126.18
211	126.3
212	126.03
213	126.24
214	126.49
215	126.22
216	126.44
217	125.81
218	125.9
219	126.03
220	126.29
221	126.43
222	126.28
223	126.16
224	126.57
225	126.22
226	126.04
227	126.11
228	126.29
229	126.43
230	126.26
231	126.36
232	126.82
233	126.77
234	126.45
235	126.83
236	126.51
237	126.16
238	126.43
239	126.59
240	126.79
241	126.43
242	126.79
243	126.5
244	126.77
245	126.93
246	126.76
247	127.27
248	127.45
249	127.31
250	127.3
251	127.84
252	127.67
253	127.81
254	127.23
255	127.34
256	126.92
257	127.02
258	126.98
259	126.91
260	127.33
261	127.03
262	126.88
263	126.92
264	127.06
265	126.85
266	126.44
267	126.62
268	126.4
269	126.32
270	126.42
271	126.51
272	126.44
273	126.22
274	126.17
275	126.2
276	126.31
277	126.34
278	126.4
279	126.69
280	126.58
281	126.51
282	126.79
283	126.99
284	126.56
285	127.18
286	127.01
287	126.94
288	126.91
289	126.9
290	126.41
291	126.9
292	126.83
293	127.12
294	127.06
295	126.86
296	127.08
297	127.1
298	127.15
299	126.84
300	127.02
301	126.34
302	126.73
303	127.17
304	126.99
305	126.84
306	127.09
307	126.56
308	126.88
309	126.96
310	126.89
311	127.25
312	127.2
313	127.35
314	127.39
315	127.19
316	127.24
317	127.33
318	126.96
319	127.14
320	126.95
321	126.96
322	126.77
323	126.65
324	126.91
325	126.74
326	126.85
327	126.78
328	126.88
329	126.69
330	126.79
331	127
332	127.16
333	127.08
334	127.02
335	127.3
336	126.87
337	126.5
338	126.84
339	126.55
340	126.91
341	126.78
342	126.99
343	127.33
344	126.74
345	126.95
346	126.58
347	126.85
348	126.76
349	126.98
350	127.01
351	126.9
352	127.07
353	127.26
354	127.04
355	127.21
356	127.47
357	127.33
358	127.4
359	127.64
360	127.51
361	127.67
362	127.59
363	127.47
364	127.32
365	127.46
366	127.06
367	127.16
368	127.02
369	126.99
370	127.04
371	127.05
372	126.97
373	127.37
374	126.97
375	127.09
376	127.08
377	126.8
378	127.04
379	126.97
380	126.9
381	126.53
382	126.92
383	127.18
384	126.94
385	126.99
386	126.7
387	126.54
388	126.49
389	126.65
390	126.72
391	126.74
392	126.44
393	126.57
394	126.31
395	126.35
396	126.26
397	126.17
398	126.39
399	126.09
400	126.28
401	126.37
402	126.25
403	126.14
404	126.01
405	125.87
406	126.08
407	126.07
408	126.14
409	126.4
410	126.52
411	125.89
412	126.05
413	125.99
414	126.04
415	125.87
416	125.81
417	125.96
418	125.89
419	126.17
420	126.15
421	126.22
422	126.37
423	126.28
424	126.19
425	126.14
426	126.34
427	125.93
428	125.98
429	126.23
430	126.08
431	126.22
432	126.14
433	126.28
434	126.11
435	126.31
436	126.5
437	126.22
438	126.37
439	126.49
440	126.43
441	126.47
442	126.48
443	126.46
444	126.63
445	126.64
446	126.58
447	126.73
448	126.59
449	126.48
450	126.65
451	126.64
452	126.62
453	126.72
454	126.56
455	126.36
456	126.42
457	126.56
458	126.48
459	126.36
460	126.27
461	126.27
462	126.34
463	126.43
464	126.18
465	126.3
466	126.35
467	126.45
468	126.16
469	126.28
470	126.36
471	126.43
472	126.43
473	126.43
474	126.36
475	126.23
476	126.37
477	126.19
478	126.06
479	126.12
480	126.11
481	126.02
482	126.17
483	126.06
484	125.96
485	125.93
486	125.9
487	126.09
488	125.81
489	125.72
490	125.92
491	125.78
492	125.94
493	126
494	125.86
495	125.93
496	125.8
497	125.99
498	126.22
499	126.36
500	126.23
501	126.31
502	126.11
503	126.05
504	126.04
505	125.99
506	126.1
507	126.14
508	126
509	125.88
510	125.71
511	125.71
512	125.99
513	125.99
514	126.01
515	126.18
516	126.01
517	126.2
518	125.97
519	125.96
520	125.91
521	126.01
522	125.86
523	125.86
524	125.8
525	125.77
526	125.62
527	125.64
528	125.67
529	125.7
530	125.64
531	125.71
532	125.71
533	125.7
534	125.74
535	125.83
536	125.65
537	125.73
538	125.43
539	125.61
540	125.48
541	125.64
542	125.53
543	125.63
544	125.29
545	125.44
546	125.53
547	125.57
548	125.71
549	125.7
550	125.74
551	125.96
552	125.81
553	125.62
554	125.84
555	125.7
556	125.72
