position	frequency
1	2
2	3
3	3
4	3
5	3
6	4
7	5
8	7
9	9
10	9
11	9
12	9
13	10
14	11
15	12
16	12
17	12
18	13
19	14
20	15
21	18
22	21
23	22
24	22
25	23
26	23
27	23
28	24
29	24
30	26
31	28
32	29
33	30
34	34
35	34
36	34
37	37
38	37
39	39
40	40
41	43
42	44
43	45
44	46
45	46
46	47
47	47
48	48
49	48
50	51
51	51
52	53
53	57
54	58
55	60
56	61
57	62
58	64
59	65
60	66
61	67
62	67
63	68
64	68
65	69
66	72
67	74
68	75
69	77
70	78
71	78
72	80
73	80
74	85
75	88
76	89
77	89
78	90
79	90
80	91
81	92
82	93
83	95
84	95
85	97
86	97
87	97
88	98
89	98
90	99
91	100
92	100
93	101
94	105
95	105
96	106
97	107
98	109
99	110
100	112
101	112
102	113
103	113
104	113
105	113
106	115
107	116
108	116
109	116
110	117
111	118
112	119
113	120
114	120
115	121
116	124
117	124
118	127
119	128
120	128
121	128
122	128
123	128
124	128
125	128
126	129
127	129
128	130
129	130
130	131
131	132
132	132
133	133
134	133
135	133
136	135
137	135
138	135
139	136
140	136
141	136
142	137
143	137
144	138
145	139
146	140
147	141
148	142
149	142
150	142
151	143
152	143
153	144
154	144
155	145
156	145
157	146
158	146
159	146
160	146
161	146
162	148
163	149
164	149
165	149
166	149
167	149
168	149
169	150
170	151
171	151
172	152
173	152
174	153
175	153
176	154
177	155
178	155
179	158
180	158
181	158
182	158
183	158
184	159
185	161
186	161
187	161
188	161
189	161
190	161
191	161
192	162
193	162
194	164
195	166
196	167
197	167
198	167
199	168
200	168
201	168
202	168
203	168
204	168
205	168
206	168
207	169
208	169
209	169
210	171
211	171
212	171
213	172
214	172
215	172
216	172
217	173
218	173
219	173
220	173
221	174
222	176
223	176
224	176
225	177
226	178
227	179
228	180
229	180
230	182
231	183
232	183
233	184
234	185
235	187
236	187
237	187
238	187
239	188
240	188
241	188
242	189
243	190
244	190
245	190
246	190
247	191
248	192
249	194
250	195
251	196
252	196
253	199
254	200
255	200
256	200
257	201
258	201
259	203
260	204
261	205
262	205
263	206
264	208
265	209
266	210
267	212
268	213
269	213
270	214
271	215
272	216
273	216
274	216
275	216
276	217
277	217
278	217
279	217
280	217
281	219
282	220
283	222
284	223
285	226
286	227
287	227
288	227
289	228
290	228
291	229
292	230
293	231
294	231
295	231
296	232
297	235
298	236
299	238
300	238
301	239
302	239
303	239
304	239
305	239
306	239
307	241
308	244
309	245
310	246
311	247
312	247
313	247
314	247
315	247
316	250
317	251
318	252
319	253
320	253
321	257
322	258
323	260
324	262
325	263
326	263
327	263
328	265
329	265
330	266
331	266
332	267
333	269
334	270
335	271
336	273
337	274
338	275
339	275
340	276
341	276
342	276
343	278
344	278
345	279
346	280
347	281
348	283
349	285
350	288
351	290
352	291
353	293
354	296
355	298
356	298
357	300
358	300
359	301
360	303
361	304
362	307
363	308
364	308
365	310
366	313
367	313
368	314
369	315
370	316
371	317
372	317
373	317
374	319
375	322
376	322
377	324
378	325
379	327
380	328
381	330
382	331
383	332
384	333
385	335
386	335
387	337
388	337
389	337
390	338
391	338
392	338
393	340
394	342
395	343
396	345
397	345
398	346
399	347
400	350
401	351
402	354
403	354
404	354
405	355
406	356
407	356
408	356
409	358
410	359
411	359
412	359
413	360
414	361
415	365
416	366
417	366
418	368
419	369
420	372
421	374
422	378
423	379
424	379
425	381
426	386
427	388
428	390
429	393
430	393
431	393
432	394
433	396
434	399
435	402
436	404
437	404
438	406
439	407
440	408
441	408
442	412
443	413
444	413
445	416
446	418
447	422
448	423
449	424
450	428
451	431
452	432
453	433
454	437
455	438
456	440
457	440
458	442
459	443
460	443
461	444
462	447
463	447
464	450
465	451
466	451
467	451
468	454
469	455
470	458
471	458
472	459
473	460
474	460
475	460
476	461
477	462
478	464
479	465
480	465
481	469
482	473
483	475
484	476
485	476
486	478
487	479
488	480
489	483
490	485
491	485
492	486
493	489
494	494
495	499
496	501
497	502
498	505
499	507
500	510
501	512
502	515
503	519
504	520
505	521
506	522
507	527
508	530
509	531
510	534
511	534
512	535
513	537
514	538
515	543
516	543
517	544
518	546
519	548
520	548
521	551
522	552
523	554
524	557
525	558
526	558
527	560
528	561
529	563
530	565
531	566
532	567
533	567
534	569
535	570
536	571
537	570
538	574
539	575
540	575
541	578
542	581
543	582
544	583
545	586
546	590
547	593
548	594
549	594
550	594
551	595
552	597
553	597
554	598
555	599
556	598
557	597
558	598
559	599
560	598
561	601
562	601
563	603
564	602
565	602
566	603
567	606
568	604
569	605
570	604
571	605
572	608
573	608
574	609
575	607
576	607
577	604
578	604
579	606
580	606
581	604
582	606
583	605
584	607
585	608
586	610
587	609
588	608
589	605
590	605
591	603
592	605
593	605
594	606
595	607
596	610
597	610
598	611
599	611
600	611
601	611
602	612
603	611
604	611
605	612
606	615
607	615
608	616
609	616
610	615
611	615
612	615
613	618
614	618
615	620
616	622
617	621
618	622
619	623
620	624
621	625
622	625
623	625
624	627
625	624
626	624
627	625
628	625
629	623
630	624
631	624
632	625
633	626
634	628
635	628
636	628
637	627
638	627
639	627
640	628
641	629
642	629
643	631
644	630
645	630
646	631
647	631
648	629
649	628
650	628
651	629
652	629
653	627
654	627
655	628
656	628
657	628
658	628
659	628
660	629
661	630
662	630
663	630
664	632
665	633
666	634
667	634
668	632
669	632
670	631
671	631
672	631
673	634
674	632
675	633
676	634
677	634
678	633
679	634
680	634
681	637
682	638
683	639
684	642
685	642
686	642
687	642
688	641
689	640
690	641
691	641
692	638
693	638
694	638
695	638
696	638
697	639
698	637
699	640
700	640
701	641
702	639
703	639
704	640
705	640
706	639
707	641
708	642
709	644
710	645
711	647
712	648
713	647
714	649
715	646
716	646
717	646
718	645
719	646
720	646
721	647
722	647
723	648
724	649
725	650
726	650
727	652
728	653
729	653
730	652
731	652
732	650
733	650
734	650
735	652
736	652
737	653
738	654
739	653
740	654
741	656
742	656
743	655
744	656
745	658
746	656
747	657
748	658
749	658
750	658
751	657
752	657
753	658
754	658
755	658
756	660
757	662
758	663
759	666
760	665
761	667
762	670
763	670
764	670
765	668
766	668
767	668
768	668
769	670
770	671
771	673
772	673
773	671
774	672
775	672
776	674
777	671
778	673
779	673
780	673
781	673
782	673
783	672
784	672
785	673
786	675
787	676
788	677
789	676
790	677
791	677
792	677
793	677
794	677
795	678
796	679
797	676
798	676
799	676
800	677
801	677
802	676
803	676
804	677
805	678
806	678
807	678
808	679
809	678
810	680
811	678
812	677
813	678
814	680
815	680
816	679
817	682
818	681
819	682
820	681
821	680
822	679
823	679
824	677
825	679
826	679
827	678
828	678
829	678
830	679
831	678
832	680
833	680
834	682
835	681
836	681
837	680
838	680
839	682
840	680
841	682
842	683
843	684
844	683
845	684
846	685
847	686
848	685
849	685
850	687
851	687
852	688
853	688
854	689
855	691
856	692
857	690
858	691
859	691
860	694
861	690
862	692
863	692
864	693
865	693
866	694
867	692
868	694
869	694
870	694
871	695
872	698
873	697
874	697
875	697
876	697
877	696
878	697
879	697
880	699
881	698
882	698
883	697
884	695
885	696
886	696
887	695
888	693
889	692
890	692
891	691
892	691
893	692
894	693
895	695
896	693
897	690
898	689
899	689
900	688
901	685
902	684
903	686
904	685
905	688
906	687
907	689
908	689
909	688
910	687
911	689
912	690
913	691
914	689
915	690
916	692
917	691
918	691
919	689
920	689
921	693
922	695
923	692
924	694
925	693
926	695
927	695
928	695
929	694
930	692
931	693
932	693
933	698
934	699
935	700
936	699
937	698
938	696
939	694
940	695
941	693
942	695
943	699
944	697
945	696
946	697
947	696
